Code,Title,Description,Source
publicAuthority,Public authority,The unit/body/department within a government that is tendering and contracting the project. The public counterpart in the PPP contract.,https://ppp-certification.com/ppp-certification-guide/glossary
bidder,Bidder,"The company or a group of companies, such as a consortium, that submits a bid in response to a RFP. A bidder could be a single party or a consortium of parties, each responsible for a specific element, such as constructing the infrastructure, supplying the equipment, or operating the business.",https://ppp-certification.com/ppp-certification-guide/glossary
qualifiedBidder,Qualified bidder,Those parties invited to submit a proposal in response to a Request for Proposal (RFP) for a project in which the government only allows a limited number of pre-qualified bidders to proceed to the RFP phase.,https://ppp-certification.com/ppp-certification-guide/glossary
preferredBidder,Preferred bidder,The bidder identified at the end of the tender evaluation process as being the government’s preferred partner to enter into (or enter into final negotiations for) a PPP contract. The preferred bidder is awarded the contract and called to contract signature.,https://ppp-certification.com/ppp-certification-guide/glossary
privateParty,Private party,"The counter party of the procuring authority in the PPP contract. A private entity which has been granted the contract to construct and operate a government asset, and which is usually created under the form of a Special Purpose Vehicle or SPV.",https://ppp-certification.com/ppp-certification-guide/glossary
leadBank,Lead bank,A lead bank is a bank that oversees the arrangement of a loan syndication,
lender,Lender,The APMG PPP Certification Program defines lenders as ""Institutions that provide lending to the project: mainly banks and institutional investors through project bonds"",
equityInvestor,Equity investor,"The APMG PPP Certification Program defines equity investors as ""Investors who finance a portion of the project’s capital expenditures (Capex), typically as share capital or subordinated debt""",
consortiaMember,Consortia member,One of a group of companies that has joined together to bid for a project.,
interestedParty ,Interested party,"A party which has expressed an interest in the project, for example by purchasing tender documents or submitted clarification questions, but has not yet formally submitted a bid.",
grantor,Grantor,"The party which grants a concession, a license or some other right.",https://ppp-certification.com/ppp-certification-guide/glossary
disqualifiedBidder,Disqualified bidder,A bidder which either did not pass the qualification stage of the evaluation process or did not pass the pre-qualification stage of the process. ,
socialWitness,Social witness,A social witness participates as an external observer in a public procurements process. They have a formal role as an observer.,
otherWitness,Other witness,A witness attends one or more stages of the procurement process to observe proceedings.,
notary,Notary,"A person authorized to perform certain legal formalities, especially to certify documents and proceedings.",
