Category,Code,Title,Description,Source
designAndConstruction,landAvailability,Land availability and acquisition risk,Relates to the unavailability of land or site to construct the infrastructure at the time of contract signature,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
designAndConstruction,environmental,Environmental risk,"Environmental risks might be related to a number of environmental issues such as general contamination, pollution, water contamination, impact on the natural environment etc. An adverse assessment might lead to changes in design, leading to a direct impact on cost of infrastructure",https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
designAndConstruction,design,Design risks,Represents the possibility that design quality for the asset is not adequate to meet project requirements,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
designAndConstruction,construction,Construction risks,"Represents the possibility that during the construction Phase, the actual project costs or construction time exceeds the projected time and costs",https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
designAndConstruction,completion,Completion and commissioning,Refers to the failure to meet the construction outcome or finalization as prescribed,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
operating,revenue,Revenue risk,Refers to the risk of the revenue flows not being correctly assessed,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
operating,inflationAndFx,"Foreign exchange, inflation and indexation risk",Risk that changes in exchange rates or inflation adversely affect the project outcomes,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
operating,availabilityAndQuality,Availability and quality risk,Risk linked to availability and quality issues relating to performance requirements and performance target levels,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
operating,otherRevenue,Other revenue risk events,credit or counterparty risk; fraud/non-payment by users,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
finance,financeAvailability,Availability of finance,Represents the risk of financing not being available at commercial close or before construction starts,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
finance,refinancing,Refinancing risks,Risks relating to the downside of refinancing,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
other,changeInLaw,Changes in law,Risk that a change in general law or the sector regulatory framework adversely affect the project,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
other,forceMajeure,Force majeure,"Risk that external events beyond the control of the parties to the contract, such as natural disasters, wars, terrorism etc., affect the project",https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
other,earlyTermination,Early termination,Risk that compensation sum due to early termination might be insufficient to meet private party’s financial obligations or is less than expected,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
other,compliance,Compliance risks,Risks deriving from the compliance or lack thereof of regulatory obligations related to the development of the project,
other,all,All risks,All risks deriving from the project,
